type,actor,behavior,object,ae,ap,aa,be,bp,ba,oe,op,oa,pae,pap,paa,pbe,pbp,pba,poe,pop,poa,def,dae,daa,dap,dbe,dbp,dba,doe,dop,doa
purity,person,date,cousin,0.93,0.95,0.35,2.24,1.53,0.75,1.58,0.38,0.7,1.48564736,0.995317,0.47784999999999994,1.3927331200000004,1.170008,0.7357,1.252742,0.140942,0.5551999999999999,1.3600167036009037,0.5556473599999999,0.12784999999999996,0.04531700000000005,-0.8472668799999998,-0.3599920000000001,-0.01429999999999998,-0.32725800000000005,-0.239058,-0.14480000000000004
purity,person,make_love_to,cousin,0.93,0.95,0.35,3.14,2.79,1.08,1.58,0.38,0.7,1.93460996,1.441087,0.51262,1.9560863200000003,1.986038,0.9829000000000001,1.3740080000000001,0.19332200000000008,0.5731999999999999,3.4276474065833433,1.0046099599999998,0.16262,0.49108700000000005,-1.1839136799999999,-0.8039620000000001,-0.09709999999999996,-0.20599199999999995,-0.18667799999999993,-0.12680000000000002
purity,person,have_an_affair_with,cousin,0.93,0.95,0.35,-3.26,0.61,0.11,1.58,0.38,0.7,-2.06689964,0.9323170000000001,0.63569,-2.42942888,0.929158,0.10610000000000003,0.1903,-1.0537779999999999,0.4452,13.906972824447184,-2.99689964,0.28569,-0.017682999999999893,0.8305711199999997,0.31915800000000005,-0.003899999999999973,-1.3897000000000002,-1.4337779999999998,-0.25479999999999997
purity,person,date,outgoing_cousin,0.93,0.95,0.35,2.24,1.53,0.75,1.37,0.91,1.3,1.39098528,0.982213,0.47784999999999994,1.3058056800000002,1.154896,0.7357,1.133465,0.530501,0.9184000000000001,1.589104113807941,0.46098527999999994,0.12784999999999996,0.03221300000000005,-0.93419432,-0.3751040000000001,-0.01429999999999998,-0.23653500000000016,-0.37949900000000003,-0.38159999999999994
purity,person,date,shy_cousin,0.93,0.95,0.35,2.24,1.53,0.75,0.67,-0.52,-0.9,1.2856706,0.9385330000000001,0.47784999999999994,1.2142408800000002,1.0725559999999998,0.7357,0.6098750000000001,-0.54504,-0.4831000000000001,1.5826675929175347,0.35567059999999995,0.12784999999999996,-0.011466999999999894,-1.02575912,-0.4574440000000002,-0.01429999999999998,-0.060124999999999984,-0.02503999999999995,0.41689999999999994
fairness,athlete,deceive,rival,1.81,2.5,2.45,-2.86,0.43,-0.27,-0.88,1.28,1.32,-0.06646679999999985,1.7726180000000002,1.9314900000000002,-0.85173584,1.142938,0.3705000000000001,-0.9650739999999999,0.013660000000000207,0.7436,11.213802164786745,-1.8764668,-0.51851,-0.7273819999999998,2.00826416,0.7129380000000001,0.6405000000000001,-0.08507399999999987,-1.2663399999999998,-0.5764
fairness,athlete,cheat,rival,1.81,2.5,2.45,-3.29,0.15,-0.14,-0.88,1.28,1.32,-0.19230219999999998,1.7183020000000002,1.97588,-1.01732176,1.006407,0.4365000000000001,-1.027979,-0.020179999999999827,0.7350000000000001,13.130498036788339,-2.0023022,-0.4741200000000001,-0.7816979999999998,2.2726782400000003,0.856407,0.5765000000000001,-0.14797899999999997,-1.30018,-0.585
fairness,athlete,trick,rival,1.81,2.5,2.45,-1.99,0.51,0.29,-0.88,1.28,1.32,0.09415179999999998,1.729262,1.95937,-0.6240385599999999,1.078617,0.7637,-0.850645,0.16678000000000015,0.7610000000000001,7.745059029668114,-1.7158482000000002,-0.4906300000000001,-0.7707379999999999,1.36596144,0.5686169999999999,0.47370000000000007,0.02935500000000002,-1.1132199999999999,-0.5589999999999999
fairness,athlete,deceive,confident_rival,1.81,2.5,2.45,-2.86,0.43,-0.27,0.18,1.55,1.01,-0.4884400399999998,1.7847020000000002,1.9314900000000002,-1.25196176,1.08649,0.3705000000000001,-0.46271199999999996,-0.03455899999999977,0.5573,12.619180047206498,-2.29844004,-0.51851,-0.7152979999999998,1.60803824,0.65649,0.6405000000000001,-0.642712,-1.5845589999999998,-0.4527
fairness,athlete,deceive,nervous_rival,1.81,2.5,2.45,-2.86,0.43,-0.27,-1.37,0.37,0.79,-0.15472489999999986,1.7670320000000002,1.9314900000000002,-0.81826716,1.16118,0.3705000000000001,-1.217497,-0.4451549999999999,0.4246000000000001,10.601028073172476,-1.9647249,-0.51851,-0.7329679999999998,2.04173284,0.7311800000000002,0.6405000000000001,0.15250300000000006,-0.8151549999999999,-0.36539999999999995
